Ontology ID,LABEL,SUBCLASS OF,DEFINITION,OLD DEFINITION,Comment,DEF SOURCE,Part Of,Axiom,Example of use,Exact Synonym@en,Broad Synonym@en,Narrow Synonym@en,EDITOR,created,ISSUES / COMMENTS,
ENVO:03501270,chapter house,building,"A building or room that is part of a cathedral, monastery or collegiate church, in which larger meetings are held.",,,https://en.wikipedia.org/wiki/Chapter_house,,,,chapterhouse,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,,
ENVO:03501271,Kaaba,building,"A building at the center of Islam's most important mosque, Great Mosque of Mecca.",,,https://en.wikipedia.org/wiki/Kaaba,,,,,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,,
ENVO:03501272,mosque,building,A place of worship for Muslims.,,,https://en.wikipedia.org/wiki/Mosque,,,,masjid,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,,
ENVO:03501273,listed building,building,"A building that has been placed on one of the four statutory lists maintained by Historic England in England, Historic Environment Scotland in Scotland, Cadw in Wales, and the Northern Ireland Environment Agency in Northern Ireland.",,,https://en.wikipedia.org/wiki/Listed_building,,,,listed structure|protected structure,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,"Comment: The term has also been used in Ireland, where buildings are surveyed for the National Inventory of Architectural Heritage in accordance with the country's obligations under the Granada Convention. (https://en.wikipedia.org/wiki/Listed_building)",
ENVO:03501274,bunkhouse,commercial building,A barracks-like building.,,,https://en.wikipedia.org/wiki/Bunkhouse,,,Historically bunkhouses were used to house working cowboys on ranches in North America.,,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,Comment: Historically used to house working cowboys on ranches in North America. (https://en.wikipedia.org/wiki/Bunkhouse),
ENVO:03501275,corn exchange,commercial building,A building where merchants trade grains.,,,https://en.wikipedia.org/wiki/Corn_exchange,,,,grain exchange,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,,
ENVO:03501276,oast house,commercial building,A building designed for kilning (drying) hops.,,,https://en.wikipedia.org/wiki/Oast_house,,,,oast|hop kiln,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,Comment: As part of the hops brewing process. (https://en.wikipedia.org/wiki/Oast_house),
ENVO:03501277,orangery,commercial building,"A room or building that formed a very large fruit tree green house, or conservatory, on the grounds of fashionable residences from the 17th to the 19th centuries.",,,https://en.wikipedia.org/wiki/Orangery,,,,orangerie,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,Comment: Where orange and other fruit trees were protected during the winter. (https://en.wikipedia.org/wiki/Orangery),
ENVO:03501278,skyscraper,office building,A continuously habitable high-rise building that has over 40 floors and is taller than 150 m (492 ft).,,,https://en.wikipedia.org/wiki/Skyscraper,,,,,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,,
ENVO:03501279,tenement,office building,"A type of building shared by multiple dwellings, typically with flats or apartments on each floor and with shared entrance stairway access.",,,https://en.wikipedia.org/wiki/Tenement,,,,,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,,
ENVO:03501280,mausoleum,public building,"An external, free-standing building constructed as a monument enclosing the interment space or burial chamber of a deceased person or people.",,,https://en.wikipedia.org/wiki/Mausoleum,,,,,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,,
ENVO:03501281,bowling alley,sports facility,A sports facility where bowling is played.,,,https://en.wikipedia.org/wiki/Bowling_alley,,,,bowling center|bowling lounge|bowling arena,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,,
ENVO:03501282,hangar,transport feature,A closed building structure to hold aircraft or spacecraft.,,,https://en.wikipedia.org/wiki/Hangar,,,,,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,,
ENVO:03501221,bistro,restaurant,A small restaurant.,"A bistro is a small restaurant, serving moderately priced simple meals in a modest setting with alcohol. Bistros are defined mostly by the foods they serve.",,https://en.wikipedia.org/wiki/Bistro,,,,bistrot,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,"Comment: Bistros serve moderately priced, simple meal in a modest setting with alcohol, and are defined mostly by the foods they serve. (https://en.wikipedia.org/wiki/Bistro)",
ENVO:03501222,brasserie,restaurant,A type of French restaurant which provides more service or food variety than a bistro.,"A brasserie is a type of French restaurant with a relaxed setting, which serves single dishes and other meals.",,https://en.wikipedia.org/wiki/Brasserie,,,,,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,"Comment:  Has a relaxed setting and serves single dishes and other meals.The word brasserie is also French for ""brewery"" and, by extension, ""the brewing business"". (https://en.wikipedia.org/wiki/Brasserie)",
ENVO:03501223,cafeteria,restaurant,A food service location in which there is little or no waiting staff table service.,"A cafeteria is a type of food service location in which there is little or no waiting staff table service, whether a restaurant or within an institution such as a large office building or school.",,https://en.wikipedia.org/wiki/Cafeteria,,,,,canteen,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,Comment: May occur in a restaurant or within an institution such as a large office building or school. (https://en.wikipedia.org/wiki/Cafeteria),
ENVO:03501224,carvery,restaurant,A pub or restaurant where cooked meat is freshly sliced to order for customers.,,,https://en.wikipedia.org/wiki/Carvery,,,,,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,Comment: Sometimes offering unlimited servings in a buffet style for a fixed price. (https://en.wikipedia.org/wiki/Carvery),
ENVO:03501225,coffeehouse,restaurant,An establishment that primarily serves coffee.,,,https://en.wikipedia.org/wiki/Coffeehouse,,,"A coffeehouse often offers italian style  espresso, latte, and cappuccino drinks.",coffee shop|café,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,"Comment: Serves espresso, latte, cappuccino, etc. (https://en.wikipedia.org/wiki/Coffeehouse)",
ENVO:03501226,greasy spoon,restaurant,"A small, cheap eatery typically specializing in fried foods and/or home-cooked meals.",,,https://en.wikipedia.org/wiki/Greasy_spoon,,,,,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,"Comment: An American diner or coffee shop, or a British or Irish cafe. (https://en.wikipedia.org/wiki/Greasy_spoon)",
ENVO:03501227,steakhouse,restaurant,A restaurant that specializes in steaks and chops.,,,https://en.wikipedia.org/wiki/Steakhouse,,,,steak house|chophouse,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,,
ENVO:03501228,trattoria,restaurant,"An Italian-style eating establishment that is generally less formal than a ristorante, but more formal than an osteria.",,,https://en.wikipedia.org/wiki/Trattoria,,,,,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,"Comment: A trattoria rooted in tradition may typically provide no printed menu, casual service, wine sold by the decanter rather than the bottle, and low prices, with an emphasis on a steady clientele rather than on haute cuisine. Food tends to be modest but plentiful (mostly following regional and local recipes), sometimes even served family-style, at common tables. (https://en.wikipedia.org/wiki/Trattoria)",
ENVO:03501229,cottage hospital,healthcare facility,A semi-obsolete type of small hospital.,,,https://en.wikipedia.org/wiki/Cottage_hospital,,,A cottage hospital is commonly found in the United Kingdom.,,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,"healthcare facility ( a new term)

Comment: Most commonly found in the United Kingdom. The original concept was a small rural building having several beds that had the ability to provide rurual communities with the facilities to deal immediately with emergencies. (https://en.wikipedia.org/wiki/Cottage_hospital)",
ENVO:03501230,field hospital,healthcare facility,A temporary hospital or mobile medical unit that takes care of casualties on-site before they can be safely transported to more permanent facilities.,,,https://en.wikipedia.org/wiki/Field_hospital,,,,,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,healthcare facility ( a new term),
ENVO:03501231,hospice,healthcare facility,A healthcare facility that focuses on palliative care for the terminally ill.,,,https://en.wikipedia.org/wiki/Hospice,,,,,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,"healthcare facility ( a new term)

Comment: Focuses on the palliation of a terminally ill patient's pain and symptoms and attending to their emotional and spiritual needs at the end of life. (https://en.wikipedia.org/wiki/Hospice)",
ENVO:03501232,movie theater,commercial building,A building that contains auditoria for viewing films.,,,https://en.wikipedia.org/wiki/Movie_theater,,,,cinema|cinema hall|picture house,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,Comment: Primarily used for entertainment purposes. (https://en.wikipedia.org/wiki/Movie_theater),
ENVO:03501233,warehouse,industrial building,A building for storing goods.,,,https://en.wikipedia.org/wiki/Warehouse,,,,,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,,
ENVO:03501234,town hall,office building,"A town hall is the chief administrative building of a city, town, or other municipality.",,,https://en.wikipedia.org/wiki/Town_hall,,,,city hall|civic centre|guildhall|Rathaus (German),,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,"Comment: Usually houses the city or town council, its associated departments, and their employees. (https://en.wikipedia.org/wiki/Town_hall)",
